# disclosure_anchor research-priority universe — v11 phase-1 candidate from the frozen public screen.
# Best attainable phase-1 candidate / still not GO; rules and hashes: watchlist-v11-manifest.json.
# Threshold outcome, not forced fill; blank optional fields inherit global defaults.
security_code,exchange,status,joined_date,lookback_days,sync_frequency,process_classes,note
300236,SZSE,active,2026-08-23,,,,上海新阳半导体材料股份有限公司
300790,SZSE,active,2026-08-23,,,,东莞市宇瞳光学科技股份有限公司
603087,SSE,active,2026-08-23,,,,甘李药业股份有限公司
601628,SSE,active,2026-08-23,,,,中国人寿保险股份有限公司
300662,SZSE,active,2026-08-23,,,,北京科锐国际人力资源股份有限公司
300059,SZSE,active,2026-08-23,,,,东方财富信息股份有限公司
688222,SSE,active,2026-08-23,,,,成都先导药物开发股份有限公司
301365,SZSE,active,2026-08-23,,,,矩阵纵横设计股份有限公司
002879,SZSE,active,2026-08-23,,,,长缆科技集团股份有限公司
688088,SSE,active,2026-08-23,,,,虹软科技股份有限公司
603655,SSE,active,2026-08-23,,,,常州朗博密封科技股份有限公司
002961,SZSE,active,2026-08-23,,,,瑞达期货股份有限公司
300620,SZSE,active,2026-08-23,,,,珠海光库科技股份有限公司
300803,SZSE,active,2026-08-23,,,,北京指南针科技发展股份有限公司
603089,SSE,active,2026-08-23,,,,浙江正裕工业股份有限公司
002729,SZSE,active,2026-08-23,,,,好利来(中国)电子科技股份有限公司
002606,SZSE,active,2026-08-23,,,,大连电瓷集团股份有限公司
688120,SSE,active,2026-08-23,,,,华海清科股份有限公司
688252,SSE,active,2026-08-23,,,,深圳天德钰科技股份有限公司
300950,SZSE,active,2026-08-23,,,,青岛德固特节能装备股份有限公司
002395,SZSE,active,2026-08-23,,,,无锡双象超纤材料股份有限公司
300577,SZSE,active,2026-08-23,,,,安徽开润股份有限公司
003025,SZSE,active,2026-08-23,,,,思进智能成形装备股份有限公司
002891,SZSE,active,2026-08-23,,,,烟台中宠食品股份有限公司
002098,SZSE,active,2026-08-23,,,,福建浔兴拉链科技股份有限公司
001301,SZSE,active,2026-08-23,,,,石家庄尚太科技股份有限公司
688386,SSE,active,2026-08-23,,,,江苏泛亚微透科技股份有限公司
003039,SZSE,active,2026-08-23,,,,广东顺控发展股份有限公司
300124,SZSE,active,2026-08-23,,,,深圳市汇川技术股份有限公司
603638,SSE,active,2026-08-23,,,,烟台艾迪精密机械股份有限公司
600563,SSE,active,2026-08-23,,,,厦门法拉电子股份有限公司
601022,SSE,active,2026-08-23,,,,宁波远洋运输股份有限公司
300373,SZSE,active,2026-08-23,,,,扬州扬杰电子科技股份有限公司
000680,SZSE,active,2026-08-23,,,,山推工程机械股份有限公司
301035,SZSE,active,2026-08-23,,,,山东潍坊润丰化工股份有限公司
600933,SSE,active,2026-08-23,,,,爱柯迪股份有限公司
300973,SZSE,active,2026-08-23,,,,立高食品股份有限公司
603966,SSE,active,2026-08-23,,,,法兰泰克重工股份有限公司
000902,SZSE,active,2026-08-23,,,,新洋丰农业科技股份有限公司
300622,SZSE,active,2026-08-23,,,,博士眼镜连锁股份有限公司
300643,SZSE,active,2026-08-23,,,,万通智控科技股份有限公司
002632,SZSE,active,2026-08-23,,,,道明光学股份有限公司
300452,SZSE,active,2026-08-23,,,,安徽山河药用辅料股份有限公司
603233,SSE,active,2026-08-23,,,,大参林医药集团股份有限公司
002290,SZSE,active,2026-08-23,,,,苏州禾盛新型材料股份有限公司
000612,SZSE,active,2026-08-23,,,,焦作万方铝业股份有限公司
688257,SSE,active,2026-08-23,,,,苏州新锐合金工具股份有限公司
300661,SZSE,active,2026-08-23,,,,圣邦微电子(北京)股份有限公司
000951,SZSE,active,2026-08-23,,,,中国重汽集团济南卡车股份有限公司
002448,SZSE,active,2026-08-23,,,,中原内配集团股份有限公司
002444,SZSE,active,2026-08-23,,,,杭州巨星科技股份有限公司
301300,SZSE,active,2026-08-23,,,,福建远翔新材料股份有限公司
000657,SZSE,active,2026-08-23,,,,中钨高新材料股份有限公司
001256,SZSE,active,2026-08-23,,,,浙江炜冈科技股份有限公司
603115,SSE,active,2026-08-23,,,,南通海星电子股份有限公司
603799,SSE,active,2026-08-23,,,,浙江华友钴业股份有限公司
300835,SZSE,active,2026-08-23,,,,安徽龙磁科技股份有限公司
603969,SSE,active,2026-08-23,,,,天津银龙集团股份有限公司
002801,SZSE,active,2026-08-23,,,,杭州微光电子股份有限公司
600389,SSE,active,2026-08-23,,,,南通江山农药化工股份有限公司
